matrix.ideaweb.hu	1.45.1	matrix.ideaweb.hu	Germany	🇩🇪
matrix.tomesh.net	1.45.1	matrix.tomesh.net	United States of America	🇺🇸
synapse.matoro.tk	1.45.1	synapse.matoro.tk	United States of America	🇺🇸
matrix.tomesh.net	1.45.1	matrix.tomesh.net:8448		
matrix.troplo.com	1.45.1	matrix.troplo.com	Australia	🇦🇺
matrix.vasbud.fun	1.45.1	matrix.vasbud.fun	Canada	🇨🇦
synapse.chefst.de	1.45.1	synapse.chefst.de	Germany	🇩🇪
matrix.wvffle.net	1.45.1	matrix.wvffle.net	Poland	🇵🇱
matrix.sibnsk.net	1.45.1	matrix.sibnsk.net	Germany	🇩🇪
matrix.yatrix.org	1.45.1	matrix.yatrix.org	Germany	🇩🇪
chat.joinpoint.org	1.45.1	chat.joinpoint.org	Germany	🇩🇪
matrix.cybre.space	1.45.1	matrix.cybre.space:8448		
matrix.sp-codes.de	1.45.1	matrix.sp-codes.de	Germany	🇩🇪
matrix.epactive.de	1.45.1	matrix.epactive.de	Germany	🇩🇪
panthermoderns.org	1.45.1	panthermoderns.org	Germany	🇩🇪
matrix.st0rm.cloud	1.45.1	matrix.st0rm.cloud	Germany	🇩🇪
matrix.cybre.space	1.45.1	matrix.cybre.space	Germany	🇩🇪
matrix.riotcat.org	1.45.1	matrix.riotcat.org	Germany	🇩🇪
matrix.tpurist.com	1.45.1	matrix.tpurist.com	United States of America	🇺🇸
matrix.nobelium.no	1.45.1	matrix.nobelium.no	Norway	🇳🇴
matrix.piscaer.com	1.45.1	matrix.piscaer.com	Germany	🇩🇪
spiff.plootarg.net	1.45.1	spiff.plootarg.net	France	🇫🇷
matrix.dabbill.com	1.45.1	matrix.dabbill.com	United States of America	🇺🇸
synapse.vault81.de	1.45.0	synapse.vault81.de	Germany	🇩🇪
matrix.tmiland.com	1.45.1	matrix.tmiland.com	Netherlands	🇳🇱
matrix.ibsgaard.io	1.45.1	matrix.ibsgaard.io	United States of America	🇺🇸
matrix.beachcom.org	1.45.0	matrix.beachcom.org	Germany	🇩🇪
fackler-software.de	1.45.1	fackler-software.de	Germany	🇩🇪
matrix.rustysoft.de	1.45.1	matrix.rustysoft.de	France	🇫🇷
matrix.linux020.net	1.45.1	matrix.linux020.net	Netherlands	🇳🇱
synapse.malooma.bzh	1.45.1	synapse.malooma.bzh	France	🇫🇷
matrix.petabyte.dev	1.45.1	matrix.petabyte.dev	Germany	🇩🇪
matrix.paglusch.com	1.45.1	matrix.paglusch.com	United States of America	🇺🇸
matrix.govanify.com	1.45.1	matrix.govanify.com	France	🇫🇷
matrix.simonetti.nl	1.45.1	matrix.simonetti.nl	United States of America	🇺🇸
the-apothecary.club	1.45.0	the-apothecary.club	Germany	🇩🇪
matrix.tschorne.net	1.45.1	matrix.tschorne.net	Germany	🇩🇪
matrix.chatcloud.net	1.45.1	matrix.chatcloud.net	Germany	🇩🇪
matrix.get-racing.de	1.45.1	matrix.get-racing.de	Germany	🇩🇪
matrix.fff.community	1.45.1	matrix.fff.community	Germany	🇩🇪
matrix.kellnerweg.de	1.45.1	matrix.kellnerweg.de	Germany	🇩🇪
matrix.underworld.fr	1.45.1	matrix.underworld.fr	France	🇫🇷
server.matrix4ulm.de	1.45.1	server.matrix4ulm.de	Germany	🇩🇪
matrix.kiwifarms.net	1.45.1	matrix.kiwifarms.net	Australia	🇦🇺
chat.pforzelona.club	1.45.1	chat.pforzelona.club	Germany	🇩🇪
matthewgall.ems.host	1.45.1	matthewgall.ems.host	Germany	🇩🇪
matrix.drastical.net	1.45.1	matrix.drastical.net	Netherlands	🇳🇱
matrix.danyocean.com	1.45.1	matrix.danyocean.com	France	🇫🇷
matrix.linuxbrujo.net	1.45.1	matrix.linuxbrujo.net	Netherlands	🇳🇱
matrix.snt.utwente.nl	1.45.1	matrix.snt.utwente.nl:8448		
chat.opentechtalks.be	1.45.1	chat.opentechtalks.be	Belgium	🇧🇪
matrix.snt.utwente.nl	1.45.1	matrix.snt.utwente.nl	Netherlands	🇳🇱
matrix.un-hack-bar.de	1.45.1	matrix.un-hack-bar.de	Germany	🇩🇪
matrix.elsmussols.net	1.45.1	matrix.elsmussols.net	Germany	🇩🇪
matrix.linuxbrujo.net	1.45.1	matrix.linuxbrujo.net:8448		
matrix.rot1.bruckbu.de	1.45.1	matrix.rot1.bruckbu.de	Germany	🇩🇪
riot.anarchyplanet.org	1.45.1	riot.anarchyplanet.org	United States of America	🇺🇸
matrix.tetaneutral.net	1.45.1	matrix.tetaneutral.net	France	🇫🇷
matrix.davidberthel.de	1.45.1	matrix.davidberthel.de	Germany	🇩🇪
matrix.morgan.software	1.45.1	matrix.morgan.software:8448		
matrix.hiddenasian.dev	1.45.1	matrix.hiddenasian.dev	Germany	🇩🇪
matrix.w1l.duckdns.org	1.45.1	matrix.w1l.duckdns.org	Germany	🇩🇪
skisr.cs.put.poznan.pl	1.45.1	skisr.cs.put.poznan.pl	Poland	🇵🇱
matrix.magnumchaos.org	1.45.1	matrix.magnumchaos.org	Germany	🇩🇪
matrix.pancrypticon.net	1.45.1	matrix.pancrypticon.net	United States of America	🇺🇸
matrix.techsaviours.org	1.45.1	matrix.techsaviours.org	Germany	🇩🇪
matrix.banfieldzanin.com	1.45.1	matrix.banfieldzanin.com:8448		
matrix.gears-gadgets.com	1.45.1	matrix.gears-gadgets.com	United States of America	🇺🇸
matrix.mycloudservice.eu	1.45.1	matrix.mycloudservice.eu	Germany	🇩🇪
matrix.banfieldzanin.com	1.45.1	matrix.banfieldzanin.com	United Kingdom	🇬🇧
matrix.livforthebaud.net	1.45.1	matrix.livforthebaud.net	United States of America	🇺🇸
matrix.neuland.technology	1.45.1	matrix.neuland.technology	Germany	🇩🇪
matrix.zahlenlabyrinth.de	1.45.1	matrix.zahlenlabyrinth.de	Germany	🇩🇪
matrix.eigenbaukombinat.de	1.45.1	matrix.eigenbaukombinat.de	Germany	🇩🇪
synapse.oblivioncoding.pro	1.45.1	synapse.oblivioncoding.pro	United States of America	🇺🇸
matrix.3x3cut0r.synology.me	1.45.1	matrix.3x3cut0r.synology.me	Germany	🇩🇪
synapse.matrix.digitale-gesellschaft.ch	1.45.1	synapse.matrix.digitale-gesellschaft.ch	Germany	🇩🇪
vgd.me	1.44.0	vgd.me	United States of America	🇺🇸
mux.re	1.44.0	mux.re	Finland	🇫🇮
hats.im	1.44.0	hats.im:8448		
llit.eu	1.44.0	llit.eu	France	🇫🇷
awau.uk	1.44.0	awau.uk	United States of America	🇺🇸
vesp.cz	1.44.0	vesp.cz	Czechia	🇨🇿
ring0.de	1.44.0	ring0.de	Germany	🇩🇪
toldi.eu	1.44.0	toldi.eu	Hungary	🇭🇺
m.edw.ai	1.44.0	m.edw.ai	United States of America	🇺🇸
mgp.ax.lt	1.44.0	mgp.ax.lt	Germany	🇩🇪
priv8.chat	1.44.0	priv8.chat	France	🇫🇷
mx.aire.ml	1.44.0	mx.aire.ml	Netherlands	🇳🇱
skylar.tech	1.44.0	skylar.tech	United States of America	🇺🇸
im.tnode.eu	1.44.0	im.tnode.eu	Canada	🇨🇦
geese.party	1.44.0	geese.party	Denmark	🇩🇰
boritsch.de	1.44.0	boritsch.de	Germany	🇩🇪
converser.eu	1.44.0	converser.eu	France	🇫🇷
im.su.cvut.cz	1.44.0	im.su.cvut.cz	Czechia	🇨🇿
zettabomb.com	1.44.0	zettabomb.com:8448		
tricuties.com	1.44.0	tricuties.com	United States of America	🇺🇸
matrix.cfx.re	1.44.0	matrix.cfx.re	United States of America	🇺🇸
rickelobe.com	1.44.0	rickelobe.com	United States of America	🇺🇸
qubesos.rocks	1.44.0	qubesos.rocks	Australia	🇦🇺
fatherjim.tech	1.44.0	fatherjim.tech	United States of America	🇺🇸
pirateriot.net	1.44.0	pirateriot.net	Germany	🇩🇪
matrix.kjoe.ml	1.44.0	matrix.kjoe.ml	Germany	🇩🇪
matrix.rptc.bid	1.44.0	matrix.rptc.bid	France	🇫🇷
matrix.m31.zone	1.44.0	matrix.m31.zone	Germany	🇩🇪
synapse.ring0.de	1.44.0	synapse.ring0.de	Germany	🇩🇪
matrix.akylas.fr	1.44.0	matrix.akylas.fr	France	🇫🇷
matrix.caff.tech	1.44.0	matrix.caff.tech	Australia	🇦🇺
matrix.glargh.fr	1.44.0	matrix.glargh.fr	France	🇫🇷
matrix.jeweet.net	1.44.0	matrix.jeweet.net	Netherlands	🇳🇱
matrix.yksflip.de	1.44.0	matrix.yksflip.de	Germany	🇩🇪
matrix.mawalabs.de	1.44.0	matrix.mawalabs.de	Germany	🇩🇪
matrix.heavner.dev	1.44.0	matrix.heavner.dev	France	🇫🇷
matrix.boritsch.de	1.44.0	matrix.boritsch.de	Germany	🇩🇪
chat.mailbucket.eu	1.44.0	chat.mailbucket.eu	Germany	🇩🇪
matrix.hankhub.net	1.44.0	matrix.hankhub.net	Singapore	🇸🇬
synapse.dst.fjit.no	1.44.0	synapse.dst.fjit.no	Norway	🇳🇴
chat.geekforbes.com	1.44.0	chat.geekforbes.com	Canada	🇨🇦
matrix.taskname.com	1.44.0	matrix.taskname.com	United States of America	🇺🇸
matrix.foxears.life	1.44.0	matrix.foxears.life	Germany	🇩🇪
matrix.schleiser.de	1.44.0	matrix.schleiser.de	France	🇫🇷
matrix.taskname.com	1.44.0	matrix.taskname.com:8448		
synapse.vpzom.click	1.44.0	synapse.vpzom.click	Finland	🇫🇮
matrix.opencloud.lu	1.44.0	matrix.opencloud.lu	Luxembourg	🇱🇺
matrix.lemarchand.io	1.44.0	matrix.lemarchand.io	France	🇫🇷
matrix.sealbaker.com	1.44.0	matrix.sealbaker.com	Canada	🇨🇦
matrix.greensteps.cn	1.44.0	matrix.greensteps.cn	Czechia	🇨🇿
