name	version	url	country	source
matrix.tjaardflix.de	1.142.1	matrix.tjaardflix.de	Unknown	Asra.gr
riot.nerdnightlax.com	1.142.1	riot.nerdnightlax.com	Unknown	Asra.gr
matrix.wolhuter.co.za	1.142.1	matrix.wolhuter.co.za	Unknown	Asra.gr
matrix.webdevelop.pro	1.142.1	matrix.webdevelop.pro	Unknown	Asra.gr
matrix.groet-infra.nl	1.142.1	matrix.groet-infra.nl	Unknown	Asra.gr
hq.sysadmin.directory	1.142.1	hq.sysadmin.directory	Unknown	Asra.gr
matrix.ronin-legacy.fr	1.142.1	matrix-federation.ronin-legacy.fr	Unknown	Asra.gr
matrix.muensterhack.de	1.142.1	matrix.muensterhack.de	Unknown	Asra.gr
matrix.majorshouse.com	1.142.1	matrix.majorshouse.com	Unknown	Asra.gr
matrix.hopesmagicbag.pink	1.142.1	matrix.hopesmagicbag.pink	Unknown	Asra.gr
matrix.castle-homeserver.org	1.142.1	matrix.castle-homeserver.org	Unknown	Asra.gr
matrix.strongtownssteinbach.org	1.142.1	matrix.strongtownssteinbach.org	Unknown	Asra.gr
flying-snail-matrix.nsupdate.info	1.142.1	flying-snail-matrix.nsupdate.info	Unknown	Asra.gr
floyd.dk	1.142.0	matrix.floyd.dk	Unknown	Asra.gr
jkuklok.net	1.142.0	matrix.jkuklok.net	Unknown	Asra.gr
exarius.org	1.142.0	exarius.org	France	Join Matrix
pastwind.org	1.142.0	pastwind.org	Unknown	Asra.gr
mckinstry.ie	1.142.0	mckinstry.ie	Unknown	Asra.gr
it-syndik.at	1.142.0	matrix.it-syndik.at	Unknown	Asra.gr
converser.eu	1.142.0	converser.eu	France	Join Matrix
augsburg.one	1.142.0	augsburg.one	Unknown	Asra.gr
sans-nuage.fr	1.142.0	matrix.sans-nuage.fr	Unknown	Asra.gr
discuss.online	1.142.0	element.discuss.online	Unknown	Asra.gr
netauthority.org	1.142.0	matrix.netauthority.org	Unknown	Asra.gr
bitcointxoko.com	1.142.0	matrix.bitcointxoko.com	Unknown	Asra.gr
meet.inboxsys.net	1.142.0	meet.inboxsys.net	Unknown	Asra.gr
matrix.proxima.cx	1.142.0	matrix.proxima.cx	Unknown	Asra.gr
secure-channel.net	1.142.0	matrix.secure-channel.net	Unknown	Asra.gr
matrix.mukedues.de	1.142.0	matrix.mukedues.de	Unknown	Asra.gr
chat.beatty.family	1.142.0	chat.beatty.family	Unknown	Asra.gr
matrix.sandbox64.at	1.142.0	matrix.sandbox64.at	Unknown	Asra.gr
matrix.nxtman96.com	1.142.0	matrix.nxtman96.com	Unknown	Asra.gr
matrix.mhesemann.de	1.142.0	matrix.mhesemann.de	Unknown	Asra.gr
matrix.beachcom.org	1.142.0	matrix.beachcom.org	Unknown	Asra.gr
rozekengineering.com	1.142.0	matrix.rozekengineering.com	Unknown	Asra.gr
matrix.cyber4edu.org	1.142.0	matrix.cyber4edu.org	Unknown	Asra.gr
naumimatrix.hopto.org	1.142.0	naumisynapse.hopto.org	Unknown	Asra.gr
matrix.netzagentur.at	1.142.0	matrix.netzagentur.at	Unknown	Asra.gr
matrix.home-net.com.ua	1.142.0	matrix.home-net.com.ua	Unknown	Asra.gr
matrix.friendattack.eu	1.142.0	matrix.friendattack.eu	Unknown	Asra.gr
matrix.frahmlaender.de	1.142.0	matrix.frahmlaender.de	Unknown	Asra.gr
matrix.enragedkodo.com	1.142.0	matrix.enragedkodo.com	Unknown	Asra.gr
disnuts.ignorelist.com	1.142.0	disnuts.ignorelist.com	Unknown	Asra.gr
matrix.strausscloud.com	1.142.0	matrix.strausscloud.com	Unknown	Asra.gr
synapse.migou.synology.me	1.142.0	synapse.migou.synology.me	Unknown	Asra.gr
matrix.studiofritzgnad.de	1.142.0	matrix.studiofritzgnad.de	Unknown	Asra.gr
matrix.firehawk-systems.com	1.142.0	matrix.firehawk-systems.com	Unknown	Asra.gr
lw4.de	1.141.0	lw4.de	Unknown	Asra.gr
noyb.io	1.141.0	noyb.io	Unknown	Asra.gr
42.chat	1.141.0	matrix.42.chat	Unknown	Asra.gr
olaf.one	1.141.0	matrix.olaf.one	Unknown	Asra.gr
heiss.be	1.141.0	matrix.heiss.be	Unknown	Asra.gr
grant.is	1.141.0	matrix.grant.is	Unknown	Asra.gr
bwinf.de	1.141.0	synapse.bwinf.de	Unknown	Asra.gr
nzcow.com	1.141.0	matrix.nzcow.com	Unknown	Asra.gr
nixfox.ca	1.141.0	matrix.nixfox.ca	Unknown	Asra.gr
morrq.com	1.141.0	matrix.morrq.com	Unknown	Asra.gr
kotous.cz	1.141.0	ssl.kotous.cz	Unknown	Asra.gr
rynban.net	1.141.0	matrix.rynban.net	Unknown	Asra.gr
poweron.dk	1.141.0	matrix.poweron.dk	Unknown	Asra.gr
pcriot.org	1.141.0	pcriot.org	Germany	Join Matrix
parlote.fr	1.141.0	parlote.fr	Unknown	Asra.gr
jochum2.de	1.141.0	matrix.jochum2.de	Unknown	Asra.gr
